feature_index,feature_name,A_base,delta_A
0,hour_float,0.949896,0.008977
1,latitude,0.949896,0.072443
2,longitude,0.949896,0.024217
3,victim_age,0.949896,0.056994
4,temp_c,0.949896,0.013570
5,humidity,0.949896,0.030063
6,dist_precinct_km,0.949896,0.065136
7,pop_density,0.949896,0.017745
8,weapon_code=0,0.949896,0.017328
9,weapon_code=1,0.949896,0.005428
10,weapon_code=2,0.949896,0.002296
11,weapon_code=3,0.949896,0.014405
12,weapon_code=4,0.949896,0.002088
13,weapon_code=5,0.949896,0.004384
14,scene_type=0,0.949896,0.008977
15,scene_type=1,0.949896,0.012735
16,scene_type=2,0.949896,0.010856
17,scene_type=3,0.949896,0.006263
18,weather=0,0.949896,0.007307
19,weather=1,0.949896,0.012317
20,weather=2,0.949896,0.006681
21,weather=3,0.949896,0.008559
22,weather=4,0.949896,0.015658
23,vic_gender=0,0.949896,0.002088
24,vic_gender=1,0.949896,0.004175
